Freq,Real,Imag,|Z|/Ohm,Phase(Z)/deg,Re(Y)/Ohm-1,Im(Y)/Ohm-1,|Y|/Ohm-1,Phase(Y)/deg
8.69E+05,2.53E+01,3.63E-01,2.53E+01,-8.22E-01,3.96E-02,5.68E-04,3.96E-02,8.22E-01
6.89E+05,2.56E+01,5.82E-01,2.56E+01,-1.30E+00,3.91E-02,8.89E-04,3.91E-02,1.30E+00
5.47E+05,2.58E+01,8.15E-01,2.59E+01,-1.81E+00,3.86E-02,1.22E-03,3.87E-02,1.81E+00
4.34E+05,2.61E+01,1.03E+00,2.61E+01,-2.26E+00,3.83E-02,1.51E-03,3.83E-02,2.26E+00
3.44E+05,2.63E+01,1.27E+00,2.63E+01,-2.76E+00,3.80E-02,1.83E-03,3.80E-02,2.76E+00
2.73E+05,2.66E+01,1.60E+00,2.66E+01,-3.43E+00,3.75E-02,2.25E-03,3.75E-02,3.43E+00
2.16E+05,2.69E+01,1.88E+00,2.70E+01,-3.99E+00,3.70E-02,2.58E-03,3.70E-02,3.99E+00
1.72E+05,2.71E+01,2.34E+00,2.72E+01,-4.92E+00,3.66E-02,3.15E-03,3.67E-02,4.92E+00
1.36E+05,2.73E+01,2.81E+00,2.75E+01,-5.87E+00,3.62E-02,3.72E-03,3.64E-02,5.87E+00
1.08E+05,2.75E+01,3.45E+00,2.77E+01,-7.15E+00,3.58E-02,4.49E-03,3.61E-02,7.15E+00
8.56E+04,2.77E+01,4.13E+00,2.80E+01,-8.47E+00,3.53E-02,5.25E-03,3.57E-02,8.47E+00
6.79E+04,2.81E+01,5.05E+00,2.86E+01,-1.02E+01,3.45E-02,6.19E-03,3.50E-02,1.02E+01
5.39E+04,2.86E+01,6.10E+00,2.92E+01,-1.21E+01,3.35E-02,7.15E-03,3.42E-02,1.21E+01
4.27E+04,2.92E+01,7.32E+00,3.01E+01,-1.41E+01,3.22E-02,8.07E-03,3.32E-02,1.41E+01
3.39E+04,3.00E+01,8.81E+00,3.12E+01,-1.64E+01,3.07E-02,9.03E-03,3.20E-02,1.64E+01
2.69E+04,3.10E+01,1.04E+01,3.27E+01,-1.86E+01,2.90E-02,9.77E-03,3.06E-02,1.86E+01
2.13E+04,3.23E+01,1.24E+01,3.46E+01,-2.10E+01,2.70E-02,1.03E-02,2.89E-02,2.10E+01
1.69E+04,3.40E+01,1.44E+01,3.69E+01,-2.30E+01,2.49E-02,1.06E-02,2.71E-02,2.30E+01
1.34E+04,3.62E+01,1.66E+01,3.98E+01,-2.47E+01,2.28E-02,1.05E-02,2.51E-02,2.47E+01
1.06E+04,3.87E+01,1.91E+01,4.32E+01,-2.62E+01,2.08E-02,1.02E-02,2.32E-02,2.62E+01
8.50E+03,4.18E+01,2.13E+01,4.69E+01,-2.71E+01,1.90E-02,9.70E-03,2.13E-02,2.71E+01
6.83E+03,4.52E+01,2.35E+01,5.10E+01,-2.75E+01,1.74E-02,9.06E-03,1.96E-02,2.75E+01
5.42E+03,4.95E+01,2.56E+01,5.57E+01,-2.74E+01,1.59E-02,8.26E-03,1.79E-02,2.74E+01
4.21E+03,5.46E+01,2.76E+01,6.12E+01,-2.68E+01,1.46E-02,7.37E-03,1.64E-02,2.68E+01
3.34E+03,5.97E+01,2.90E+01,6.64E+01,-2.59E+01,1.35E-02,6.59E-03,1.51E-02,2.59E+01
2.65E+03,6.50E+01,2.99E+01,7.16E+01,-2.47E+01,1.27E-02,5.84E-03,1.40E-02,2.47E+01
2.10E+03,7.05E+01,3.03E+01,7.67E+01,-2.33E+01,1.20E-02,5.14E-03,1.30E-02,2.33E+01
1.66E+03,7.59E+01,3.04E+01,8.18E+01,-2.18E+01,1.14E-02,4.55E-03,1.22E-02,2.18E+01
1.32E+03,8.14E+01,3.00E+01,8.67E+01,-2.02E+01,1.08E-02,3.99E-03,1.15E-02,2.02E+01
1.05E+03,8.66E+01,2.91E+01,9.14E+01,-1.86E+01,1.04E-02,3.49E-03,1.09E-02,1.86E+01
8.30E+02,9.15E+01,2.79E+01,9.56E+01,-1.70E+01,1.00E-02,3.05E-03,1.05E-02,1.70E+01
6.59E+02,9.61E+01,2.64E+01,9.97E+01,-1.54E+01,9.68E-03,2.66E-03,1.00E-02,1.54E+01
5.22E+02,1.00E+02,2.48E+01,1.03E+02,-1.39E+01,9.40E-03,2.32E-03,9.68E-03,1.39E+01
4.14E+02,1.04E+02,2.29E+01,1.07E+02,-1.24E+01,9.17E-03,2.01E-03,9.38E-03,1.24E+01
3.29E+02,1.07E+02,2.11E+01,1.09E+02,-1.11E+01,8.97E-03,1.76E-03,9.14E-03,1.11E+01
2.61E+02,1.10E+02,1.90E+01,1.12E+02,-9.81E+00,8.82E-03,1.53E-03,8.95E-03,9.81E+00
2.07E+02,1.13E+02,1.72E+01,1.14E+02,-8.70E+00,8.68E-03,1.33E-03,8.78E-03,8.70E+00
1.64E+02,1.15E+02,1.56E+01,1.16E+02,-7.74E+00,8.54E-03,1.16E-03,8.62E-03,7.74E+00
1.30E+02,1.17E+02,1.39E+01,1.18E+02,-6.77E+00,8.44E-03,1.00E-03,8.50E-03,6.77E+00
1.03E+02,1.18E+02,1.26E+01,1.19E+02,-6.07E+00,8.35E-03,8.89E-04,8.40E-03,6.07E+00
8.18E+01,1.20E+02,1.14E+01,1.21E+02,-5.42E+00,8.26E-03,7.85E-04,8.30E-03,5.42E+00
6.49E+01,1.21E+02,1.01E+01,1.21E+02,-4.79E+00,8.21E-03,6.87E-04,8.23E-03,4.79E+00
5.14E+01,1.22E+02,9.10E+00,1.22E+02,-4.26E+00,8.14E-03,6.06E-04,8.16E-03,4.26E+00
4.08E+01,1.23E+02,8.37E+00,1.23E+02,-3.89E+00,8.09E-03,5.50E-04,8.10E-03,3.89E+00
3.23E+01,1.24E+02,7.76E+00,1.24E+02,-3.58E+00,8.02E-03,5.02E-04,8.04E-03,3.58E+00
2.57E+01,1.25E+02,6.99E+00,1.25E+02,-3.20E+00,7.98E-03,4.46E-04,7.99E-03,3.20E+00
2.04E+01,1.26E+02,6.51E+00,1.26E+02,-2.97E+00,7.94E-03,4.12E-04,7.95E-03,2.97E+00
1.61E+01,1.27E+02,6.06E+00,1.27E+02,-2.74E+00,7.89E-03,3.78E-04,7.90E-03,2.74E+00
1.28E+01,1.27E+02,5.81E+00,1.27E+02,-2.62E+00,7.85E-03,3.59E-04,7.85E-03,2.62E+00
1.02E+01,1.28E+02,5.56E+00,1.28E+02,-2.49E+00,7.81E-03,3.40E-04,7.82E-03,2.49E+00
8.05E+00,1.28E+02,5.31E+00,1.28E+02,-2.37E+00,7.78E-03,3.22E-04,7.78E-03,2.37E+00
6.39E+00,1.29E+02,5.18E+00,1.29E+02,-2.30E+00,7.75E-03,3.12E-04,7.76E-03,2.30E+00
5.07E+00,1.30E+02,5.24E+00,1.30E+02,-2.31E+00,7.71E-03,3.11E-04,7.71E-03,2.31E+00
4.02E+00,1.30E+02,5.26E+00,1.30E+02,-2.32E+00,7.69E-03,3.12E-04,7.70E-03,2.32E+00
3.19E+00,1.30E+02,5.47E+00,1.30E+02,-2.41E+00,7.68E-03,3.23E-04,7.69E-03,2.41E+00
2.53E+00,1.30E+02,5.65E+00,1.31E+02,-2.48E+00,7.65E-03,3.32E-04,7.66E-03,2.48E+00
2.00E+00,1.31E+02,6.01E+00,1.31E+02,-2.63E+00,7.62E-03,3.50E-04,7.63E-03,2.63E+00
1.59E+00,1.32E+02,6.43E+00,1.32E+02,-2.79E+00,7.56E-03,3.68E-04,7.57E-03,2.79E+00
1.26E+00,1.33E+02,6.93E+00,1.33E+02,-2.99E+00,7.50E-03,3.91E-04,7.51E-03,2.99E+00
1.00E+00,1.34E+02,7.51E+00,1.34E+02,-3.21E+00,7.43E-03,4.16E-04,7.44E-03,3.21E+00
