Freq,Real,Imag,|Z|/Ohm,Phase(Z)/deg,Re(Y)/Ohm-1,Im(Y)/Ohm-1,|Y|/Ohm-1,Phase(Y)/deg
1.28E+01,8.28E+01,4.61E+00,8.29E+01,-3.19E+00,1.20E-02,6.71E-04,1.21E-02,3.19E+00
1.02E+01,8.34E+01,4.59E+00,8.35E+01,-3.15E+00,1.20E-02,6.58E-04,1.20E-02,3.15E+00
8.05E+00,8.38E+01,4.34E+00,8.39E+01,-2.96E+00,1.19E-02,6.16E-04,1.19E-02,2.96E+00
6.39E+00,8.43E+01,4.37E+00,8.44E+01,-2.97E+00,1.18E-02,6.14E-04,1.19E-02,2.97E+00
5.07E+00,8.48E+01,4.48E+00,8.49E+01,-3.02E+00,1.18E-02,6.21E-04,1.18E-02,3.02E+00
4.02E+00,8.51E+01,4.64E+00,8.52E+01,-3.12E+00,1.17E-02,6.38E-04,1.17E-02,3.12E+00
3.19E+00,8.56E+01,4.80E+00,8.57E+01,-3.21E+00,1.16E-02,6.53E-04,1.17E-02,3.21E+00
2.53E+00,8.62E+01,5.08E+00,8.64E+01,-3.38E+00,1.16E-02,6.82E-04,1.16E-02,3.38E+00
2.00E+00,8.68E+01,5.41E+00,8.70E+01,-3.57E+00,1.15E-02,7.16E-04,1.15E-02,3.57E+00
1.59E+00,8.73E+01,5.86E+00,8.75E+01,-3.84E+00,1.14E-02,7.65E-04,1.14E-02,3.84E+00
1.26E+00,8.79E+01,6.37E+00,8.81E+01,-4.15E+00,1.13E-02,8.21E-04,1.13E-02,4.15E+00
1.00E+00,8.88E+01,6.97E+00,8.90E+01,-4.49E+00,1.12E-02,8.79E-04,1.12E-02,4.49E+00
