Freq,Real,Imag,|Z|/Ohm,Phase(Z)/deg,Re(Y)/Ohm-1,Im(Y)/Ohm-1,|Y|/Ohm-1,Phase(Y)/deg
8.69E+05,3.15E+00,7.19E-01,3.23E+00,1.29E+01,3.02E-01,-6.89E-02,3.10E-01,-1.29E+01
6.89E+05,3.12E+00,4.85E-01,3.16E+00,8.84E+00,3.13E-01,-4.87E-02,3.17E-01,-8.84E+00
5.47E+05,3.12E+00,2.76E-01,3.13E+00,5.06E+00,3.18E-01,-2.82E-02,3.20E-01,-5.06E+00
4.34E+05,3.12E+00,9.60E-02,3.12E+00,1.76E+00,3.20E-01,-9.85E-03,3.20E-01,-1.76E+00
3.44E+05,3.14E+00,7.89E-02,3.14E+00,-1.44E+00,3.19E-01,8.02E-03,3.19E-01,1.44E+00
2.73E+05,3.17E+00,2.43E-01,3.18E+00,-4.39E+00,3.14E-01,2.41E-02,3.15E-01,4.39E+00
2.16E+05,3.20E+00,4.16E-01,3.23E+00,-7.40E+00,3.07E-01,3.99E-02,3.10E-01,7.40E+00
1.72E+05,3.27E+00,5.96E-01,3.32E+00,-1.03E+01,2.96E-01,5.41E-02,3.01E-01,1.03E+01
1.36E+05,3.35E+00,7.89E-01,3.44E+00,-1.33E+01,2.83E-01,6.67E-02,2.91E-01,1.33E+01
1.08E+05,3.46E+00,9.91E-01,3.60E+00,-1.60E+01,2.67E-01,7.65E-02,2.78E-01,1.60E+01
8.56E+04,3.62E+00,1.21E+00,3.81E+00,-1.86E+01,2.49E-01,8.35E-02,2.62E-01,1.86E+01
6.79E+04,3.81E+00,1.45E+00,4.08E+00,-2.08E+01,2.29E-01,8.70E-02,2.45E-01,2.08E+01
5.39E+04,4.07E+00,1.68E+00,4.40E+00,-2.25E+01,2.10E-01,8.68E-02,2.27E-01,2.25E+01
4.27E+04,4.37E+00,1.89E+00,4.76E+00,-2.34E+01,1.93E-01,8.33E-02,2.10E-01,2.34E+01
3.39E+04,4.75E+00,2.06E+00,5.18E+00,-2.34E+01,1.77E-01,7.67E-02,1.93E-01,2.34E+01
2.69E+04,5.16E+00,2.20E+00,5.61E+00,-2.31E+01,1.64E-01,7.00E-02,1.78E-01,2.31E+01
2.13E+04,5.59E+00,2.29E+00,6.04E+00,-2.23E+01,1.53E-01,6.27E-02,1.66E-01,2.23E+01
1.69E+04,6.03E+00,2.32E+00,6.46E+00,-2.11E+01,1.44E-01,5.57E-02,1.55E-01,2.11E+01
1.34E+04,6.46E+00,2.30E+00,6.86E+00,-1.96E+01,1.37E-01,4.88E-02,1.46E-01,1.96E+01
1.06E+04,6.87E+00,2.24E+00,7.22E+00,-1.81E+01,1.32E-01,4.30E-02,1.38E-01,1.81E+01
8.50E+03,7.23E+00,2.15E+00,7.54E+00,-1.66E+01,1.27E-01,3.79E-02,1.33E-01,1.66E+01
6.83E+03,7.55E+00,2.06E+00,7.83E+00,-1.53E+01,1.23E-01,3.37E-02,1.28E-01,1.53E+01
5.42E+03,7.86E+00,1.96E+00,8.10E+00,-1.40E+01,1.20E-01,2.98E-02,1.23E-01,1.40E+01
4.21E+03,8.18E+00,1.84E+00,8.39E+00,-1.27E+01,1.16E-01,2.62E-02,1.19E-01,1.27E+01
3.34E+03,8.46E+00,1.73E+00,8.64E+00,-1.15E+01,1.13E-01,2.32E-02,1.16E-01,1.15E+01
2.65E+03,8.71E+00,1.61E+00,8.86E+00,-1.05E+01,1.11E-01,2.05E-02,1.13E-01,1.05E+01
2.10E+03,8.96E+00,1.49E+00,9.08E+00,-9.47E+00,1.09E-01,1.81E-02,1.10E-01,9.47E+00
1.66E+03,9.16E+00,1.37E+00,9.26E+00,-8.50E+00,1.07E-01,1.59E-02,1.08E-01,8.50E+00
1.32E+03,9.35E+00,1.25E+00,9.43E+00,-7.59E+00,1.05E-01,1.40E-02,1.06E-01,7.59E+00
1.05E+03,9.50E+00,1.13E+00,9.56E+00,-6.77E+00,1.04E-01,1.23E-02,1.05E-01,6.77E+00
8.30E+02,9.63E+00,1.03E+00,9.68E+00,-6.09E+00,1.03E-01,1.10E-02,1.03E-01,6.09E+00
6.59E+02,9.74E+00,9.43E-01,9.78E+00,-5.53E+00,1.02E-01,9.85E-03,1.02E-01,5.53E+00
5.22E+02,9.82E+00,8.77E-01,9.86E+00,-5.10E+00,1.01E-01,9.02E-03,1.01E-01,5.10E+00
4.14E+02,9.90E+00,8.38E-01,9.94E+00,-4.84E+00,1.00E-01,8.48E-03,1.01E-01,4.84E+00
