Freq,Real,Imag,|Z|/Ohm,Phase(Z)/deg,Re(Y)/Ohm-1,Im(Y)/Ohm-1,|Y|/Ohm-1,Phase(Y)/deg
8.69E+05,3.28E+00,5.81E-01,3.33E+00,1.00E+01,2.96E-01,-5.24E-02,3.01E-01,-1.00E+01
6.89E+05,3.25E+00,3.24E-01,3.27E+00,5.69E+00,3.04E-01,-3.03E-02,3.06E-01,-5.69E+00
5.47E+05,3.25E+00,1.00E-01,3.25E+00,1.77E+00,3.07E-01,-9.49E-03,3.07E-01,-1.77E+00
4.34E+05,3.25E+00,1.10E-01,3.26E+00,-1.93E+00,3.07E-01,1.03E-02,3.07E-01,1.93E+00
3.44E+05,3.27E+00,3.19E-01,3.28E+00,-5.58E+00,3.03E-01,2.96E-02,3.04E-01,5.58E+00
2.73E+05,3.30E+00,5.36E-01,3.34E+00,-9.23E+00,2.95E-01,4.80E-02,2.99E-01,9.23E+00
2.16E+05,3.34E+00,7.66E-01,3.43E+00,-1.29E+01,2.85E-01,6.53E-02,2.92E-01,1.29E+01
1.72E+05,3.39E+00,1.02E+00,3.54E+00,-1.68E+01,2.71E-01,8.16E-02,2.83E-01,1.68E+01
1.36E+05,3.46E+00,1.32E+00,3.70E+00,-2.08E+01,2.53E-01,9.61E-02,2.70E-01,2.08E+01
1.08E+05,3.57E+00,1.66E+00,3.93E+00,-2.50E+01,2.31E-01,1.07E-01,2.54E-01,2.50E+01
8.56E+04,3.72E+00,2.06E+00,4.25E+00,-2.89E+01,2.06E-01,1.14E-01,2.35E-01,2.89E+01
6.79E+04,3.94E+00,2.52E+00,4.67E+00,-3.26E+01,1.80E-01,1.15E-01,2.14E-01,3.26E+01
5.39E+04,4.24E+00,3.00E+00,5.20E+00,-3.53E+01,1.57E-01,1.11E-01,1.92E-01,3.53E+01
4.27E+04,4.62E+00,3.58E+00,5.84E+00,-3.78E+01,1.35E-01,1.05E-01,1.71E-01,3.78E+01
3.39E+04,5.11E+00,4.23E+00,6.63E+00,-3.96E+01,1.16E-01,9.61E-02,1.51E-01,3.96E+01
2.69E+04,5.73E+00,4.91E+00,7.55E+00,-4.06E+01,1.01E-01,8.61E-02,1.32E-01,4.06E+01
2.13E+04,6.52E+00,5.63E+00,8.62E+00,-4.08E+01,8.79E-02,7.59E-02,1.16E-01,4.08E+01
1.69E+04,7.47E+00,6.32E+00,9.79E+00,-4.02E+01,7.80E-02,6.60E-02,1.02E-01,4.02E+01
1.34E+04,8.61E+00,6.98E+00,1.11E+01,-3.90E+01,7.01E-02,5.68E-02,9.02E-02,3.90E+01
1.06E+04,9.87E+00,7.56E+00,1.24E+01,-3.75E+01,6.38E-02,4.89E-02,8.04E-02,3.75E+01
8.50E+03,1.12E+01,7.99E+00,1.38E+01,-3.54E+01,5.91E-02,4.20E-02,7.25E-02,3.54E+01
6.83E+03,1.27E+01,8.26E+00,1.51E+01,-3.31E+01,5.54E-02,3.61E-02,6.61E-02,3.31E+01
5.42E+03,1.42E+01,8.42E+00,1.65E+01,-3.06E+01,5.21E-02,3.08E-02,6.05E-02,3.06E+01
4.21E+03,1.59E+01,8.37E+00,1.80E+01,-2.77E+01,4.92E-02,2.58E-02,5.56E-02,2.77E+01
3.34E+03,1.75E+01,8.17E+00,1.93E+01,-2.51E+01,4.70E-02,2.20E-02,5.19E-02,2.51E+01
2.65E+03,1.89E+01,7.80E+00,2.04E+01,-2.24E+01,4.52E-02,1.87E-02,4.89E-02,2.24E+01
2.10E+03,2.02E+01,7.34E+00,2.15E+01,-2.00E+01,4.37E-02,1.59E-02,4.65E-02,2.00E+01
1.66E+03,2.14E+01,6.79E+00,2.24E+01,-1.76E+01,4.25E-02,1.35E-02,4.46E-02,1.76E+01
1.32E+03,2.24E+01,6.19E+00,2.33E+01,-1.54E+01,4.14E-02,1.15E-02,4.30E-02,1.54E+01
1.05E+03,2.32E+01,5.56E+00,2.39E+01,-1.35E+01,4.07E-02,9.75E-03,4.19E-02,1.35E+01
8.30E+02,2.40E+01,4.98E+00,2.45E+01,-1.17E+01,3.99E-02,8.27E-03,4.08E-02,1.17E+01
6.59E+02,2.46E+01,4.44E+00,2.50E+01,-1.02E+01,3.93E-02,7.09E-03,4.00E-02,1.02E+01
5.22E+02,2.51E+01,3.94E+00,2.54E+01,-8.91E+00,3.89E-02,6.10E-03,3.93E-02,8.91E+00
4.14E+02,2.56E+01,3.46E+00,2.58E+01,-7.72E+00,3.84E-02,5.20E-03,3.88E-02,7.72E+00
3.29E+02,2.59E+01,3.14E+00,2.61E+01,-6.91E+00,3.80E-02,4.61E-03,3.83E-02,6.91E+00
2.61E+02,2.62E+01,2.81E+00,2.63E+01,-6.13E+00,3.77E-02,4.05E-03,3.80E-02,6.13E+00
2.07E+02,2.64E+01,2.60E+00,2.66E+01,-5.61E+00,3.75E-02,3.68E-03,3.77E-02,5.61E+00
1.64E+02,2.67E+01,2.42E+00,2.68E+01,-5.18E+00,3.72E-02,3.37E-03,3.73E-02,5.18E+00
1.30E+02,2.69E+01,2.28E+00,2.70E+01,-4.85E+00,3.69E-02,3.13E-03,3.70E-02,4.85E+00
